Type,ItemID,Name,Status,Price,Count,Author,Isbn,BestSeller,Format
Book,B001,Book Title 1,Checked Out,45.95,2,Author Name 1,978-0-8139784-5,false
Book,B002,Book Title 2,Checked Out,43.79,9,Author Name 2,978-0-1453212-5,false
Book,B003,Book Title 3,Checked Out,44.03,7,Author Name 3,978-0-1948994-5,true
Book,B004,Book Title 4,Available,42.69,1,Author Name 4,978-0-5207993-2,false
Book,B005,Book Title 5,Available,30.11,3,Author Name 5,978-0-5770649-2,false
Book,B006,Book Title 6,Checked Out,28.07,6,Author Name 6,978-0-7753404-5,false
Book,B007,Book Title 7,Available,30.33,13,Author Name 7,978-0-8084992-2,false
Book,B008,Book Title 8,Checked Out,34.6,9,Author Name 8,978-0-4370037-2,false
Book,B009,Book Title 9,Checked Out,33.55,2,Author Name 9,978-0-4312379-6,false
Book,B010,Book Title 10,Checked Out,21.97,8,Author Name 10,978-0-8021055-0,true
Book,B011,Book Title 11,Available,27.57,8,Author Name 11,978-0-7877694-4,false
Book,B012,Book Title 12,Checked Out,48.04,5,Author Name 12,978-0-5401263-5,true
Book,B013,Book Title 13,Checked Out,42.05,7,Author Name 13,978-0-9432180-4,false
Book,B014,Book Title 14,Checked Out,48.85,14,Author Name 14,978-0-4247649-8,true
Book,B015,Book Title 15,Available,23.1,6,Author Name 15,978-0-8775558-1,true
Book,B016,Book Title 16,Checked Out,23.66,8,Author Name 16,978-0-2642308-5,true
Book,B017,Book Title 17,Checked Out,43.71,1,Author Name 17,978-0-6915300-3,true
Book,B018,Book Title 18,Available,38.1,9,Author Name 18,978-0-9149857-7,false
Book,B019,Book Title 19,Checked Out,29.13,11,Author Name 19,978-0-8051454-3,true
Book,B020,Book Title 20,Available,21.48,2,Author Name 20,978-0-8356656-9,true
Book,B021,Book Title 21,Checked Out,48.89,1,Author Name 21,978-0-9655600-8,false
Book,B022,Book Title 22,Checked Out,19.22,8,Author Name 22,978-0-2621796-5,false
Book,B023,Book Title 23,Checked Out,22.65,19,Author Name 23,978-0-1831089-5,false
